,ContractReviewNumber,SalesOrderText,PartText,Sect1Risk1,Sect1Risk2,Sect1Risk3,Sect1Risk4,Sect1Risk5,Sect2Risk1,Sect2Risk2,Sect2Risk3,Sect2Risk4,Sect2Risk5,Sect3Risk1,Sect3Risk2,Sect3Risk3,Sect3Risk4,Sect3Risk5,Sect4Risk1,Sect4Risk2,Sect4Risk3,Sect4Risk4,Sect4Risk5,Sect5Risk1,Sect5Risk2,Sect5Risk3,Sect5Risk4,Sect5Risk5
0,13387,Sales Order,1TD1150D07039-2008,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False
0,13387,Sales Order,1TD1150D07039-9505,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
0,13387,Sales Order,1TD1150D07039-9506,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False
0,13387,Sales Order,1TD1150D07039-9507,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False
0,13387,Sales Order,1TD1150D07039-9508,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False
0,13388,Sales Order,842-349640-1,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False
0,13389,Sales Order,A090511D0502-2011,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False
0,13390,Sales Order,1TD1335A00209-2003,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
0,13391,Sales Order,70301-02116-042,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False
0,13393,Sales Order,17P2C1017-1,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False
