,Sect1Risk1,Sect1Risk2,Sect1Risk3,Sect1Risk4,Sect1Risk5,Sect2Risk1,Sect2Risk2,Sect2Risk3,Sect2Risk4,Sect2Risk5,Sect3Risk1,Sect3Risk2,Sect3Risk3,Sect3Risk4,Sect3Risk5,Sect4Risk1,Sect4Risk2,Sect4Risk3,Sect4Risk4,Sect4Risk5,Sect5Risk1,Sect5Risk2,Sect5Risk3,Sect5Risk4,Sect5Risk5,ContractReviewNumber,SalesOrderText,PartText
0,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,13374,Sales Order,1TD1150D07023-2007
0,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,13375,Sales Order,1TD1343D00217-1003
0,True,True,True,True,False,False,True,True,False,True,False,False,True,False,False,False,False,True,False,False,True,False,True,True,False,13375,Sales Order,1TD1343D00033-1007
0,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,13375,Sales Order,1TD1343D00033-1005
0,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,13375,Sales Order,1TD1343D00033-1003
0,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,13375,Sales Order,1TD1343D00033-1001
0,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,13375,Sales Order,1TD1343A00215-1001
0,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,13375,Sales Order,1TD1343A00214-1003
0,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,13375,Sales Order,1TD1343A00214-1001
0,True,True,True,True,False,False,True,True,False,True,False,True,True,False,False,False,True,False,False,False,True,False,True,True,False,13376,Sales Order,366605-11
0,True,True,True,True,False,False,True,True,False,True,False,True,True,False,False,False,True,False,False,False,True,False,True,True,False,13377,Sales Order,366605-11
0,True,True,True,True,False,False,True,True,False,True,False,True,True,False,False,False,True,False,False,False,True,False,True,True,False,13378,Sales Order,148A6354-154
0,True,True,True,True,False,False,True,True,False,True,False,True,True,False,False,False,True,False,False,False,True,False,True,True,False,13379,Sales Order,148A6354-153
0,True,True,True,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True,True,False,13380,Sales Order,DA322A0395-401
0,True,True,True,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True,True,True,True,False,13381,Sales Order,842-349640-1
0,True,True,True,True,False,False,True,True,False,True,False,False,True,False,False,False,True,False,False,False,True,True,True,True,False,13382,Sales Order,5-89525-6
0,True,True,True,True,False,False,True,True,False,True,False,True,True,False,False,False,True,False,False,False,True,False,True,True,False,13383,Sales Order,366605-11
0,True,True,True,True,False,False,True,True,False,True,False,True,True,False,False,False,True,False,False,False,True,True,True,True,False,13384,Sales Order,70301-02116-042
